SLOID,status
ch:1:sloid:76094::51,1
ch:1:sloid:91002::50,1
ch:1:sloid:90586::50,1
ch:1:sloid:91105::50,1
ch:1:sloid:91256::50,1
ch:1:sloid:94731::50,1
ch:1:sloid:95078::50,1
ch:1:sloid:90638::50,1
ch:1:sloid:90653::50,1
ch:1:sloid:91167::23,1
ch:1:sloid:94249::50,1
ch:1:sloid:94250::50,1
ch:1:sloid:3159::51,1
ch:1:sloid:90574::50,1
ch:1:sloid:95080::50,1
ch:1:sloid:90700::50,1
ch:1:sloid:90713::50,1
ch:1:sloid:3189::51,1
ch:1:sloid:95396::50,1
ch:1:sloid:3354::51,1
ch:1:sloid:3380::51,1
ch:1:sloid:3700::51,1
ch:1:sloid:90637::50,1
ch:1:sloid:90643::50,1
ch:1:sloid:926::51,1
ch:1:sloid:3155::51,1
ch:1:sloid:90786::50,1
ch:1:sloid:3896::51,1
ch:1:sloid:90688::50,1
ch:1:sloid:90694::50,1
ch:1:sloid:3184::51,1
ch:1:sloid:73241::51,1
ch:1:sloid:73504::51,1
ch:1:sloid:90714::50,1
ch:1:sloid:3267::51,1
ch:1:sloid:3367::51,1
ch:1:sloid:90838::50,1
ch:1:sloid:90866::50,1
ch:1:sloid:73567::51,1
ch:1:sloid:73579::51,1
ch:1:sloid:73583::51,1
ch:1:sloid:73584::51,1
ch:1:sloid:90736::50,1
ch:1:sloid:90751::50,1
ch:1:sloid:90877::50,1
ch:1:sloid:3898::51,1
ch:1:sloid:75941::51,1
ch:1:sloid:90837::50,1
ch:1:sloid:90841::50,1
ch:1:sloid:90966::50,1
ch:1:sloid:90871::50,1
ch:1:sloid:73559::51,1
ch:1:sloid:87689::51,1
ch:1:sloid:87858::51,1
ch:1:sloid:90515::51,1
ch:1:sloid:90787::51,1
ch:1:sloid:90543::51,1
ch:1:sloid:90792::51,1
ch:1:sloid:94250::51,1
ch:1:sloid:87957::51,1
ch:1:sloid:87958::51,1
ch:1:sloid:87965::51,1
ch:1:sloid:90554::51,1
ch:1:sloid:87971::51,1
ch:1:sloid:90563::51,1
ch:1:sloid:90833::51,1
ch:1:sloid:90841::51,1
ch:1:sloid:90847::51,1
ch:1:sloid:95267::51,1
ch:1:sloid:90853::51,1
ch:1:sloid:76230::51,1
ch:1:sloid:76244::51,1
ch:1:sloid:90881::51,1
ch:1:sloid:90884::51,1
ch:1:sloid:88026::51,1
ch:1:sloid:77341::51,1
ch:1:sloid:90913::51,1
ch:1:sloid:90924::51,1
ch:1:sloid:90940::51,1
ch:1:sloid:90955::51,1
ch:1:sloid:88318::51,1
ch:1:sloid:88508::51,1
ch:1:sloid:90986::51,1
ch:1:sloid:76238::51,1
ch:1:sloid:90692::51,1
ch:1:sloid:90698::51,1
ch:1:sloid:89109::51,1
ch:1:sloid:90714::51,1
ch:1:sloid:90716::51,1
ch:1:sloid:90204::51,1
ch:1:sloid:90729::51,1
ch:1:sloid:91087::51,1
ch:1:sloid:80796::51,1
ch:1:sloid:90465::51,1
ch:1:sloid:90475::51,1
ch:1:sloid:90743::51,1
ch:1:sloid:91256::51,1
ch:1:sloid:90756::51,1
ch:1:sloid:91276::51,1
ch:1:sloid:91357::51,1
ch:1:sloid:90506::51,1
ch:1:sloid:1609:5:12,0
ch:1:sloid:6899::55,1
ch:1:sloid:75918::56,1
ch:1:sloid:10:8:17,0
ch:1:sloid:6899::60,1
ch:1:sloid:95263::61,1
ch:1:sloid:105:2:5,0
ch:1:sloid:91065::61,1
ch:1:sloid:76210::51,1
ch:1:sloid:76217::51,1
ch:1:sloid:73205::63,1
ch:1:sloid:206:2:2,0
ch:1:sloid:209:2:2,0
ch:1:sloid:10:1:2,0
ch:1:sloid:21:2:4,0
ch:1:sloid:73232::52,1
ch:1:sloid:73586::52,1
ch:1:sloid:73678::52,0
ch:1:sloid:1103:1:1,0
ch:1:sloid:6636::52,0
ch:1:sloid:76129::52,1
ch:1:sloid:122:1:1,0
ch:1:sloid:87653::52,1
ch:1:sloid:1116:1:1,0
ch:1:sloid:1116:2:2,0
ch:1:sloid:1117:2:4,0
ch:1:sloid:1118:3:5,0
ch:1:sloid:1120:5:9,0
ch:1:sloid:201:1:1,0
ch:1:sloid:207:3:5,0
ch:1:sloid:90619::52,1
ch:1:sloid:1120:4:8,0
ch:1:sloid:1123:1:1,0
ch:1:sloid:90533::52,1
ch:1:sloid:212::187923,0
ch:1:sloid:1200:2:2,0
ch:1:sloid:218:2:2,0
ch:1:sloid:95912::52,1
ch:1:sloid:3184::53,1
ch:1:sloid:3855::53,1
ch:1:sloid:218:4:7,0
ch:1:sloid:302:1:1,0
ch:1:sloid:1304:1:1,0
ch:1:sloid:76124::53,1
ch:1:sloid:313:2:2,0
ch:1:sloid:320:3:4,0
ch:1:sloid:1403:3:4,0
ch:1:sloid:1405:2:2,0
ch:1:sloid:1501:2:2,0
ch:1:sloid:1504:1:1,0
ch:1:sloid:1505:1:3,0
ch:1:sloid:3528:1:1,0
ch:1:sloid:4411:2:2,0
ch:1:sloid:4414:2:2,0
ch:1:sloid:4415:1:1,0
ch:1:sloid:3104:2:3,0
ch:1:sloid:5007:2:5,0
ch:1:sloid:5112:2:2,0
ch:1:sloid:5113:2:5,0
ch:1:sloid:6303:1:1,0
ch:1:sloid:5002:1:2,0
ch:1:sloid:3124:1:1,0
ch:1:sloid:3127:2:2,0
ch:1:sloid:3129:3:6,0
ch:1:sloid:5209:2:2,0
ch:1:sloid:3147:1:2,0
ch:1:sloid:2201:2:3,0
ch:1:sloid:2202:3:6,0
ch:1:sloid:3206:1:9,0
ch:1:sloid:5304:2:3,0
ch:1:sloid:4106:1:1,0
ch:1:sloid:5307:1:11,0
ch:1:sloid:5400:2:2,0
ch:1:sloid:5404:1:1,0
ch:1:sloid:4209:2:3,0
ch:1:sloid:2216:1:2,0
ch:1:sloid:2217:2:2,0
ch:1:sloid:6000:4:7,0
ch:1:sloid:6001:3:6,0
ch:1:sloid:4011:1:2,0
ch:1:sloid:4026:1:1,0
ch:1:sloid:3305:2:3,0
ch:1:sloid:4105:1:1,0
ch:1:sloid:2247:1:5,0
ch:1:sloid:3310:2:2,0
ch:1:sloid:3000:5:9,0
ch:1:sloid:3340:1:1,0
ch:1:sloid:3400:3:6,0
ch:1:sloid:3001:3:3,0
ch:1:sloid:3404:2:3,0
ch:1:sloid:3408:1:6,0
ch:1:sloid:3423:1:3,0
ch:1:sloid:3424:2:3,0
ch:1:sloid:3503:2:3,0
ch:1:sloid:3503:3:4,0
ch:1:sloid:4304:2:3,0
ch:1:sloid:6193:1:1,0
ch:1:sloid:91369::0,0
ch:1:sloid:91390::0,0
ch:1:sloid:91123::0,1
ch:1:sloid:91135::0,1
ch:1:sloid:91202::0,1
ch:1:sloid:91421::0,0
ch:1:sloid:94239::0,0
ch:1:sloid:91294::0,0
ch:1:sloid:91329::0,0
ch:1:sloid:15992:2:2,0
ch:1:sloid:73244::1,1
ch:1:sloid:80912::1,1
ch:1:sloid:90881::1,0
ch:1:sloid:91412::0,1
ch:1:sloid:91415::0,0
ch:1:sloid:91433::0,0
ch:1:sloid:91444::0,1
ch:1:sloid:8004:2:2,0
ch:1:sloid:16274:1:1,0
ch:1:sloid:91065::1,1
ch:1:sloid:91067::1,1
ch:1:sloid:91106::1,0
ch:1:sloid:3059::1,0
ch:1:sloid:73710::1,0
ch:1:sloid:90762::1,0
ch:1:sloid:8005:2:2,0
ch:1:sloid:8202:1:2,0
ch:1:sloid:8207:2:2,0
ch:1:sloid:91263::1,1
ch:1:sloid:91156::1,1
ch:1:sloid:91220::1,1
ch:1:sloid:91259::1,0
ch:1:sloid:2100:1:1,0
ch:1:sloid:91298::1,0
ch:1:sloid:91329::1,0
ch:1:sloid:91363::1,0
ch:1:sloid:91367::1,1
ch:1:sloid:91393::1,0
ch:1:sloid:91353::1,0
ch:1:sloid:87349::1,0
ch:1:sloid:91433::1,1
ch:1:sloid:91830::1,1
ch:1:sloid:94198::1,0
ch:1:sloid:91398::1,0
ch:1:sloid:91412::1,0
ch:1:sloid:91230::0,0
ch:1:sloid:2205:1:3,0
ch:1:sloid:2208:1:2,0
ch:1:sloid:6314:2:2,0
ch:1:sloid:76182::1,0
ch:1:sloid:96007::2,0
ch:1:sloid:88553::3,0
ch:1:sloid:91448::0,1
ch:1:sloid:7000:55:49,0
ch:1:sloid:76193::4,1
ch:1:sloid:91299::4,1
ch:1:sloid:91429::1,0
ch:1:sloid:7008:2:2,0
ch:1:sloid:90889::1,1
ch:1:sloid:91239::0,0
ch:1:sloid:8100:1:1,0
ch:1:sloid:90889::0,1
ch:1:sloid:91071::0,0
ch:1:sloid:91071::0,1
ch:1:sloid:91194::0,0
ch:1:sloid:8201:1:1,0
ch:1:sloid:91128::0,0
ch:1:sloid:87655::0,1
ch:1:sloid:91171::0,0
ch:1:sloid:91229::0,0
ch:1:sloid:91252::0,1
ch:1:sloid:9400:1:1,0
ch:1:sloid:9404:2:2,0
ch:1:sloid:91279::0,0
ch:1:sloid:91305::0,0
ch:1:sloid:91332::0,0
ch:1:sloid:91343::0,1
ch:1:sloid:7078:0:816533,0
ch:1:sloid:8293:0:180575,0
ch:1:sloid:91481::505502,0
ch:1:sloid:75824::511702,0
ch:1:sloid:93373:0:02,1
ch:1:sloid:4495:0:358493,0
ch:1:sloid:89501::528401,0
ch:1:sloid:92477:0:02,0
ch:1:sloid:95606:0:02,0
ch:1:sloid:260:0:116830,0
ch:1:sloid:89969:0:01,0
ch:1:sloid:265:0:547734,0
ch:1:sloid:261:0:379075,0
ch:1:sloid:75813::510801,0
ch:1:sloid:7306:0:01,0
ch:1:sloid:8297:0:540839,0
ch:1:sloid:81471::508202,0
ch:1:sloid:91489::506704,1
ch:1:sloid:88426:1:5,1
ch:1:sloid:8265:0:891388,0
ch:1:sloid:92456:0:01,0
ch:1:sloid:92458:0:02,0
ch:1:sloid:93347:0:01,0
ch:1:sloid:93387:0:01,1
ch:1:sloid:8080:0:403875,0
ch:1:sloid:92466:0:01,1
ch:1:sloid:87899:0:01,0
ch:1:sloid:87899:0:02,0
ch:1:sloid:87899:0:02,1
ch:1:sloid:8267:0:752991,1
ch:1:sloid:8272:0:141476,0
ch:1:sloid:8268:0:577532,1
ch:1:sloid:87620:0:01,0
ch:1:sloid:76724:0:01,1
ch:1:sloid:76723:0:04,1
ch:1:sloid:89965:0:02,0
ch:1:sloid:87406:1:3,1
ch:1:sloid:7481:0:386244,0
ch:1:sloid:7480:0:876806,0
ch:1:sloid:7093:0:92358,0
ch:1:sloid:94180::509801,0
ch:1:sloid:88479:1:4,0
ch:1:sloid:87125::506901,1
ch:1:sloid:87125::506902,0
ch:1:sloid:80074::504501,0
ch:1:sloid:7082:0:562230,0
ch:1:sloid:76836:1:3,1
ch:1:sloid:76834:1:2,1
ch:1:sloid:91491::500801,0
ch:1:sloid:7083:0:502349,0
